ID,text,food,restaurant,atmosphere,drinks,location,service
tensor(246),,1.0,0.0,0.0,0.0,0.0
tensor(1771),,1.0,0.0,0.0,0.0,0.0
tensor(1394),,0.0,0.0,0.0,1.0,0.0
tensor(2159),,1.0,0.0,0.0,0.0,0.0
tensor(1708),,0.0,1.0,0.0,0.0,0.0
tensor(1061),,0.0,0.0,1.0,0.0,0.0
tensor(3136),,0.0,0.0,1.0,0.0,0.0
tensor(1906),,1.0,0.0,0.0,0.0,0.0
tensor(2700),,0.0,1.0,0.0,0.0,0.0
tensor(2781),,1.0,0.0,0.0,0.0,0.0
tensor(2038),,1.0,0.0,0.0,0.0,1.0
tensor(130),,0.0,0.0,1.0,0.0,0.0
tensor(3510),,0.0,1.0,1.0,0.0,0.0
tensor(512),,0.0,1.0,1.0,0.0,0.0
tensor(195),,0.0,0.0,0.0,1.0,0.0
tensor(2623),,1.0,0.0,0.0,0.0,1.0
tensor(2172),,1.0,0.0,0.0,0.0,0.0
tensor(941),,0.0,0.0,1.0,0.0,0.0
tensor(214),,0.0,0.0,1.0,0.0,0.0
tensor(560),,1.0,0.0,0.0,0.0,0.0
tensor(2461),,1.0,0.0,0.0,0.0,0.0
tensor(2468),,1.0,0.0,0.0,0.0,0.0
tensor(3558),,1.0,0.0,0.0,0.0,0.0
tensor(2093),,0.0,1.0,0.0,0.0,0.0
tensor(2153),,1.0,0.0,0.0,0.0,0.0
tensor(1156),,0.0,0.0,0.0,1.0,0.0
tensor(2359),,0.0,1.0,0.0,0.0,1.0
tensor(1715),,1.0,0.0,0.0,0.0,0.0
tensor(2088),,0.0,0.0,0.0,1.0,0.0
tensor(185),,1.0,0.0,0.0,0.0,0.0
tensor(2610),,1.0,0.0,0.0,0.0,0.0
tensor(3089),,0.0,1.0,0.0,1.0,0.0
tensor(490),,0.0,1.0,0.0,0.0,0.0
tensor(3245),,1.0,0.0,0.0,0.0,0.0
tensor(164),,0.0,0.0,1.0,0.0,0.0
tensor(1480),,1.0,0.0,0.0,0.0,0.0
tensor(3663),,1.0,0.0,0.0,0.0,0.0
tensor(3250),,0.0,1.0,1.0,0.0,0.0
tensor(3073),,1.0,0.0,0.0,0.0,0.0
tensor(1839),,1.0,0.0,0.0,0.0,1.0
tensor(1756),,0.0,0.0,0.0,0.0,1.0
tensor(29),,1.0,0.0,0.0,0.0,0.0
tensor(484),,1.0,1.0,0.0,0.0,0.0
tensor(2574),,1.0,0.0,0.0,0.0,0.0
tensor(3595),,1.0,0.0,0.0,0.0,1.0
tensor(3633),,0.0,0.0,1.0,0.0,0.0
tensor(1186),,0.0,1.0,0.0,1.0,0.0
tensor(3224),,1.0,0.0,0.0,0.0,0.0
tensor(2341),,0.0,1.0,1.0,0.0,0.0
tensor(2004),,1.0,1.0,0.0,0.0,0.0
tensor(644),,0.0,0.0,1.0,0.0,0.0
tensor(2007),,1.0,0.0,0.0,0.0,0.0
tensor(3107),,1.0,1.0,0.0,0.0,0.0
tensor(580),,1.0,0.0,0.0,0.0,0.0
tensor(1295),,0.0,0.0,1.0,0.0,0.0
tensor(997),,0.0,0.0,0.0,1.0,0.0
